Rank,Propensity Score,Name,Job Title,Company,Person Location,Company HQ,Email,LinkedIn,Recent Publication,Conference,Funding Stage,Similar Tech Used,Biotech Hub
1,72,Dr. Aaron Lewis,Head of Preclinical Safety,NovaBio,"Boston, USA","Cambridge, USA",aaron.lewis@novabio.com,linkedin.com/in/aaronlewis,Yes,SOT 2024,Series B,Yes,Yes
2,70,Dr. Priya Nair,Senior Toxicologist,HepaGen,"Bangalore, India","Boston, USA",priya.nair@hepagen.com,linkedin.com/in/priyanair,Yes,SOT 2023,Series A,Yes,Yes
3,68,Dr. Michael Chen,Safety Assessment Lead,BioCore,"San Diego, USA","San Diego, USA",michael.chen@biocore.com,linkedin.com/in/michaelchen,Yes,AACR 2024,Series A,No,Yes
4,65,Dr. Emily Wright,Toxicology Manager,PharmaNext,"London, UK","London, UK",emily.wright@pharmanext.co.uk,linkedin.com/in/emilywright,No,ISSX 2023,Series B,Yes,Yes
5,67,Dr. Rohan Mehta,Principal Scientist,Cellix Labs,"Hyderabad, India","Basel, Switzerland",rohan.mehta@cellixlabs.com,linkedin.com/in/rohanmehta,Yes,SOT 2024,Private,No,Yes
6,61,Dr. Sample Name 6,Research Scientist,BioCompany6,Various Locations,Global HQ,sample6@biocompany.com,linkedin.com/in/sample6,No,None,Private,No,No
7,62,Dr. Sample Name 7,Research Scientist,BioCompany7,Various Locations,Global HQ,sample7@biocompany.com,linkedin.com/in/sample7,No,None,Private,No,No
8,63,Dr. Sample Name 8,Research Scientist,BioCompany8,Various Locations,Global HQ,sample8@biocompany.com,linkedin.com/in/sample8,No,None,Private,No,No
9,64,Dr. Sample Name 9,Research Scientist,BioCompany9,Various Locations,Global HQ,sample9@biocompany.com,linkedin.com/in/sample9,No,None,Private,No,No
10,65,Dr. Sample Name 10,Research Scientist,BioCompany10,Various Locations,Global HQ,sample10@biocompany.com,linkedin.com/in/sample10,No,None,Private,No,No
11,66,Dr. Sample Name 11,Research Scientist,BioCompany11,Various Locations,Global HQ,sample11@biocompany.com,linkedin.com/in/sample11,No,None,Private,No,No
12,67,Dr. Sample Name 12,Research Scientist,BioCompany12,Various Locations,Global HQ,sample12@biocompany.com,linkedin.com/in/sample12,No,None,Private,No,No
13,68,Dr. Sample Name 13,Research Scientist,BioCompany13,Various Locations,Global HQ,sample13@biocompany.com,linkedin.com/in/sample13,No,None,Private,No,No
14,69,Dr. Sample Name 14,Research Scientist,BioCompany14,Various Locations,Global HQ,sample14@biocompany.com,linkedin.com/in/sample14,No,None,Private,No,No
15,55,Dr. Sample Name 15,Research Scientist,BioCompany15,Various Locations,Global HQ,sample15@biocompany.com,linkedin.com/in/sample15,No,None,Private,No,No
16,56,Dr. Sample Name 16,Research Scientist,BioCompany16,Various Locations,Global HQ,sample16@biocompany.com,linkedin.com/in/sample16,No,None,Private,No,No
17,57,Dr. Sample Name 17,Research Scientist,BioCompany17,Various Locations,Global HQ,sample17@biocompany.com,linkedin.com/in/sample17,No,None,Private,No,No
18,58,Dr. Sample Name 18,Research Scientist,BioCompany18,Various Locations,Global HQ,sample18@biocompany.com,linkedin.com/in/sample18,No,None,Private,No,No
19,59,Dr. Sample Name 19,Research Scientist,BioCompany19,Various Locations,Global HQ,sample19@biocompany.com,linkedin.com/in/sample19,No,None,Private,No,No
20,60,Dr. Sample Name 20,Research Scientist,BioCompany20,Various Locations,Global HQ,sample20@biocompany.com,linkedin.com/in/sample20,No,None,Private,No,No
21,61,Dr. Sample Name 21,Research Scientist,BioCompany21,Various Locations,Global HQ,sample21@biocompany.com,linkedin.com/in/sample21,No,None,Private,No,No
22,62,Dr. Sample Name 22,Research Scientist,BioCompany22,Various Locations,Global HQ,sample22@biocompany.com,linkedin.com/in/sample22,No,None,Private,No,No
23,63,Dr. Sample Name 23,Research Scientist,BioCompany23,Various Locations,Global HQ,sample23@biocompany.com,linkedin.com/in/sample23,No,None,Private,No,No
24,64,Dr. Sample Name 24,Research Scientist,BioCompany24,Various Locations,Global HQ,sample24@biocompany.com,linkedin.com/in/sample24,No,None,Private,No,No
25,65,Dr. Sample Name 25,Research Scientist,BioCompany25,Various Locations,Global HQ,sample25@biocompany.com,linkedin.com/in/sample25,No,None,Private,No,No
26,66,Dr. Sample Name 26,Research Scientist,BioCompany26,Various Locations,Global HQ,sample26@biocompany.com,linkedin.com/in/sample26,No,None,Private,No,No
27,67,Dr. Sample Name 27,Research Scientist,BioCompany27,Various Locations,Global HQ,sample27@biocompany.com,linkedin.com/in/sample27,No,None,Private,No,No
28,68,Dr. Sample Name 28,Research Scientist,BioCompany28,Various Locations,Global HQ,sample28@biocompany.com,linkedin.com/in/sample28,No,None,Private,No,No
29,69,Dr. Sample Name 29,Research Scientist,BioCompany29,Various Locations,Global HQ,sample29@biocompany.com,linkedin.com/in/sample29,No,None,Private,No,No
30,55,Dr. Sample Name 30,Research Scientist,BioCompany30,Various Locations,Global HQ,sample30@biocompany.com,linkedin.com/in/sample30,No,None,Private,No,No
31,56,Dr. Sample Name 31,Research Scientist,BioCompany31,Various Locations,Global HQ,sample31@biocompany.com,linkedin.com/in/sample31,No,None,Private,No,No
32,57,Dr. Sample Name 32,Research Scientist,BioCompany32,Various Locations,Global HQ,sample32@biocompany.com,linkedin.com/in/sample32,No,None,Private,No,No
33,58,Dr. Sample Name 33,Research Scientist,BioCompany33,Various Locations,Global HQ,sample33@biocompany.com,linkedin.com/in/sample33,No,None,Private,No,No
34,59,Dr. Sample Name 34,Research Scientist,BioCompany34,Various Locations,Global HQ,sample34@biocompany.com,linkedin.com/in/sample34,No,None,Private,No,No
35,60,Dr. Sample Name 35,Research Scientist,BioCompany35,Various Locations,Global HQ,sample35@biocompany.com,linkedin.com/in/sample35,No,None,Private,No,No
36,61,Dr. Sample Name 36,Research Scientist,BioCompany36,Various Locations,Global HQ,sample36@biocompany.com,linkedin.com/in/sample36,No,None,Private,No,No
